Title,URL,Description,Start,End,Timezone,Contact,Organizer,Eligibility,Host Institutions,Online,City,Country,Venue,Types,Cost Basis,Keywords,Objectives,Prerequisites,Requirements
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230411T090000,20230414T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230508T090000,20230511T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230612T090000,20230615T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230711T090000,20230714T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230807T090000,20230810T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20230911T090000,20230914T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20231010T090000,20231013T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20231106T090000,20231109T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: R for Reproducible Scientific Analysis,https://www.qcif.edu.au/trainingcourses/r-for-reproducible-scientific-analysis/,"""This Software Carpentry workshop will introduce novice programmers to the R software environment, a powerful, popular and free statistical and graphical programming language. R is commonly used in many scientific disciplines for statistical analysis and its array of third-party packages. The emphasis of this workshop is to give attendees a strong foundation in the fundamentals of R, and to teach best practices for scientific computing: breaking down analyses into modular units, task automation, and encapsulation.""",20231211T090000,20231214T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Upload and process data in R to generate plots, figures and tables</li><li>Create and run functions in R</li><li>Write your own R script for automated data processing</li><li>Create automated reproducible reports in R</li><li>Install and load external R packages and manage R projects</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
Introduction to Programming: Plotting and Programming with Python,https://www.qcif.edu.au/trainingcourses/plotting-and-programming-with-python/,"""This Software Carpentry workshop will introduce the building blocks of the Python scripting environment. Participants will start by exploring the command-line interface and basic programming concepts using Unix, before moving on to learn about simple and complex data types, conditionals and looping in Python. This workshop will prepare participants to carry out batch analysis and equip them with the knowledge to start creating automated pipelines to increase data processing power and productivity.""",20230523T090000,20230526T123000,Australia/Brisbane,training@qcif.edu.au,QCIF,open_to_all;,QCIF,true,,,,workshop;,hosts,,"""<ul><li>Use Python to read and write data from and to files</li><li>Perform simple scripting operations using loops and conditionals to carry out batch analyses</li><li>Generate data plots with Python</li></ul>""","""A familiarity with command-line interfaces will be helpful, but is not required""",
